run_id,harness,architecture_family,provider,model,temperature,prompt_version,schema_version,mapping_version,dataset_n,llm_calls_per_row,mean_input_tokens,mean_output_tokens,mean_total_tokens,latency_ms,estimated_cost_usd,modules_invoked,intermediate_artifacts,external_tools
matrix_claude-3-5-sonnet-20241022_direct_evidence_contract,direct_evidence_contract,direct_llm,replay,claude-3-5-sonnet-20241022,0.0,direct_evidence_contract_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_claude-3-haiku-20240307_direct_evidence_contract,direct_evidence_contract,direct_llm,replay,claude-3-haiku-20240307,0.0,direct_evidence_contract_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_gpt-4o-2024-11-20_direct_evidence_contract,direct_evidence_contract,direct_llm,replay,gpt-4o-2024-11-20,0.0,direct_evidence_contract_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_gpt-4o-mini-2024-07-18_direct_evidence_contract,direct_evidence_contract,direct_llm,replay,gpt-4o-mini-2024-07-18,0.0,direct_evidence_contract_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_meta-llama_Llama-3_1-70B-Instruct_direct_evidence_contract,direct_evidence_contract,direct_llm,replay,meta-llama/Llama-3.1-70B-Instruct,0.0,direct_evidence_contract_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_meta-llama_Llama-3_1-8B-Instruct_direct_evidence_contract,direct_evidence_contract,direct_llm,replay,meta-llama/Llama-3.1-8B-Instruct,0.0,direct_evidence_contract_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_claude-3-5-haiku-20241022_direct_full_contract,direct_full_contract,direct_llm,replay,claude-3-5-haiku-20241022,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_claude-3-5-sonnet-20241022_direct_full_contract,direct_full_contract,direct_llm,replay,claude-3-5-sonnet-20241022,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_claude-3-haiku-20240307_direct_full_contract,direct_full_contract,direct_llm,replay,claude-3-haiku-20240307,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_gpt-4o-2024-11-20_direct_full_contract,direct_full_contract,direct_llm,replay,gpt-4o-2024-11-20,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_gpt-4o-mini-2024-07-18_direct_full_contract,direct_full_contract,direct_llm,replay,gpt-4o-mini-2024-07-18,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
